class,order,family,genus,species,common_name,count_train,count_validation,count_test
Mammalia,Primates,Cercopithecidae,Trachypithecus,phayrei,Phayre's Leaf-monkey,12,0,0
Aves,Cathartiformes,Cathartidae,Cathartes,melambrotus,Greater Yellow-headed Vulture,11,0,0
Mammalia,Pilosa,,,,Pilosa Order,11,0,0
Aves,Columbiformes,Columbidae,Columbina,squammata,Scaled Dove,11,0,0
Aves,Anseriformes,Anatidae,Anas,carolinensis,Green-winged Teal,11,0,0
Aves,Charadriiformes,Haematopodidae,Haematopus,longirostris,Pied Oystercatcher,11,0,0
Mammalia,Didelphimorphia,Didelphidae,Didelphis,imperfecta,Guianan White-eared Opossum,11,0,0
Aves,Galliformes,Phasianidae,Meleagris,,Meleagris Species,11,0,5
Mammalia,Rodentia,Castoridae,Castor,fiber,Eurasian Beaver,11,0,0
Mammalia,Eulipotyphla,Soricidae,Suncus,murinus,House Shrew,11,2,0
Mammalia,Rodentia,Sciuridae,Tamiasciurus,,Tamiasciurus Species,11,0,1
Aves,Passeriformes,Meliphagidae,Caligavis,chrysops,Yellow-faced Honeyeater,11,0,18
Aves,Caprimulgiformes,Trochilidae,Phaethornis,,Phaethornis Species,11,0,1
Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,Budgerigar,11,2,0
Aves,Caprimulgiformes,Apodidae,,,Apodidae Family,11,0,0
Aves,Falconiformes,Falconidae,Micrastur,buckleyi,Buckley's Forest-falcon,11,0,0
Aves,Falconiformes,Falconidae,Falco,tinnunculus,Common Kestrel,11,0,0
Aves,Passeriformes,Furnariidae,Cinclodes,,Cinclodes Species,11,0,0
Aves,Caprimulgiformes,Trochilidae,Calypte,anna,Anna's Hummingbird,11,0,0
Aves,Passeriformes,Turdidae,Myadestes,townsendi,Townsend's Solitaire,11,0,0
Aves,Passeriformes,Paridae,Poecile,,Poecile Species,11,0,0
Mammalia,Rodentia,Caviidae,,,Cavy Family,11,6,0
Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,Creamy-bellied Thrush,10,0,0
Aves,Passeriformes,Phylloscopidae,Phylloscopus,trivirgatus,Mountain Warbler,10,0,0
Aves,Passeriformes,Icteridae,Sturnella,,Sturnella Species,10,0,0
Aves,Passeriformes,Tyrannidae,Tyrannus,forficatus,Scissor-tailed Flycatcher,10,0,0
Aves,Gruiformes,Psophiidae,,,Psophiidae Family,10,0,0
Aves,Piciformes,Picidae,Leuconotopicus,borealis,Red-cockaded Woodpecker,10,0,0
Reptilia,Testudines,Testudinidae,Chelonoidis,denticulatus,Yellow-footed Tortoise,10,27,0
Aves,Accipitriformes,Accipitridae,Leucopternis,melanops,Black-faced Hawk,10,0,0
Aves,Passeriformes,Turdidae,Geokichla,camaronensis,Black-eared Ground-thrush,10,0,0
Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Ash-throated Flycatcher,10,0,0
Mammalia,Cetartiodactyla,Bovidae,Gazella,,Gazella Species,10,20,0
Aves,Passeriformes,Muscicapidae,Sheppardia,cyornithopsis,Lowland Akalat,10,0,0
Aves,Passeriformes,Leiotrichidae,Garrulax,maesi,Grey Laughingthrush,10,0,0
Aves,Passeriformes,Thraupidae,Saltator,cinctus,Masked Saltator,10,0,0
Aves,Bucerotiformes,Bucerotidae,Bycanistes,fistulator,White-tailed Hornbill,10,0,0
Aves,Passeriformes,Tyrannidae,Sayornis,saya,Say's Phoebe,10,42,0
Aves,Passeriformes,Turdidae,Catharus,minimus,Gray-cheeked Thrush,10,0,0
Mammalia,Rodentia,Caviidae,Cavia,,Cavia Species,10,0,0
Aves,Passeriformes,Muscicapidae,Alethe,castanea,Fire-crested Alethe,10,0,0
Aves,Charadriiformes,Charadriidae,Hoploxypterus,cayanus,Pied Lapwing,10,0,0
Aves,Passeriformes,Paridae,Parus,minor,Eastern Great Tit,10,10,0
Mammalia,Rodentia,Sciuridae,Notocitellus,adocetus,Lesser Tropical Ground Squirel,10,0,0
Mammalia,Primates,Galagidae,Euoticus,pallidus,Northern Needle-clawed Galago,10,0,0
Mammalia,Primates,Callitrichidae,Mico,rondoni,Rondon's Marmoset,10,3,0
Mammalia,Primates,Cercopithecidae,Colobus,guereza,Guereza,10,0,61
Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,Mona Monkey,10,0,0
Aves,Bucerotiformes,Bucerotidae,Lophoceros,camurus,Dwarf Hornbill,10,0,0
Aves,Falconiformes,Falconidae,Micrastur,gilvicollis,Lined Forest-falcon,10,0,0
Mammalia,Primates,Cercopithecidae,Trachypithecus,cristatus,Silvery Lutung,10,0,0
Aves,Passeriformes,Sturnidae,,,Sturnidae Family,10,0,0
Aves,Passeriformes,Passerellidae,Melospiza,georgiana,Swamp Sparrow,10,0,0
Aves,Cuculiformes,Cuculidae,Piaya,cayana,Common Squirrel-cuckoo,10,0,0
Aves,Galliformes,Phasianidae,Arborophila,charltonii,Arborófila Pechicastaña,10,0,0
Aves,Passeriformes,Climacteridae,Climacteris,erythrops,Red-browed Treecreeper,10,0,0
Aves,Accipitriformes,Accipitridae,Nisaetus,cirrhatus,Changeable Hawk-Eagle,10,0,3
Mammalia,Didelphimorphia,Didelphidae,Monodelphis,,Monodelphis Species,10,0,0
Aves,Psittaciformes,Psittacidae,Platycercus,adscitus,Pale-headed Rosella,10,0,0
Aves,Passeriformes,Troglodytidae,,,Troglodytidae Family,10,2,0
Aves,Columbiformes,Columbidae,Caloenas,nicobarica,Nicobar Pigeon,10,0,0
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,Highland Streaked Tenrec,10,0,0
Mammalia,Rodentia,Cricetidae,Lophiomys,imhausi,Crested Rat,10,0,0
Aves,Passeriformes,Furnariidae,Sclerurus,mexicanus,Tawny-throated Leaftosser,10,0,0
Aves,Passeriformes,Thamnophilidae,Hafferia,fortis,Sooty Antbird,9,0,0
Aves,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,Black-headed Grosbeak,9,1,0
